DATE,Date,electricity_price,
1/1/1992,1/1/1992,0.062,
2/1/1992,2/1/1992,0.062,
3/1/1992,3/1/1992,0.062,
4/1/1992,4/1/1992,0.062,
5/1/1992,5/1/1992,0.079,
6/1/1992,6/1/1992,0.079,
7/1/1992,7/1/1992,0.079,
8/1/1992,8/1/1992,0.079,
9/1/1992,9/1/1992,0.079,
10/1/1992,10/1/1992,0.079,
11/1/1992,11/1/1992,0.063,
12/1/1992,12/1/1992,0.062,
1/1/1993,1/1/1993,0.062,
2/1/1993,2/1/1993,0.062,
3/1/1993,3/1/1993,0.062,
4/1/1993,4/1/1993,0.062,
5/1/1993,5/1/1993,0.079,
6/1/1993,6/1/1993,0.079,
7/1/1993,7/1/1993,0.079,
8/1/1993,8/1/1993,0.079,
9/1/1993,9/1/1993,0.092,
10/1/1993,10/1/1993,0.092,
11/1/1993,11/1/1993,0.073,
12/1/1993,12/1/1993,0.072,
1/1/1994,1/1/1994,0.073,
2/1/1994,2/1/1994,0.074,
3/1/1994,3/1/1994,0.073,
4/1/1994,4/1/1994,0.074,
5/1/1994,5/1/1994,0.073,
6/1/1994,6/1/1994,0.086,
7/1/1994,7/1/1994,0.086,
8/1/1994,8/1/1994,0.086,
9/1/1994,9/1/1994,0.074,
10/1/1994,10/1/1994,0.086,
11/1/1994,11/1/1994,0.073,
12/1/1994,12/1/1994,0.072,
1/1/1995,1/1/1995,0.075,
2/1/1995,2/1/1995,0.074,
3/1/1995,3/1/1995,0.075,
4/1/1995,4/1/1995,0.075,
5/1/1995,5/1/1995,0.074,
6/1/1995,6/1/1995,0.088,
7/1/1995,7/1/1995,0.086,
8/1/1995,8/1/1995,0.086,
9/1/1995,9/1/1995,0.077,
10/1/1995,10/1/1995,0.086,
11/1/1995,11/1/1995,0.072,
12/1/1995,12/1/1995,0.072,
1/1/1996,1/1/1996,0.072,
2/1/1996,2/1/1996,0.062,
3/1/1996,3/1/1996,0.072,
4/1/1996,4/1/1996,0.072,
5/1/1996,5/1/1996,0.072,
6/1/1996,6/1/1996,0.086,
7/1/1996,7/1/1996,0.087,
8/1/1996,8/1/1996,0.087,
9/1/1996,9/1/1996,0.087,
10/1/1996,10/1/1996,0.086,
11/1/1996,11/1/1996,0.072,
12/1/1996,12/1/1996,0.072,
1/1/1997,1/1/1997,0.072,
2/1/1997,2/1/1997,0.072,
3/1/1997,3/1/1997,0.072,
4/1/1997,4/1/1997,0.072,
5/1/1997,5/1/1997,0.072,
6/1/1997,6/1/1997,0.087,
7/1/1997,7/1/1997,0.087,
8/1/1997,8/1/1997,0.072,
9/1/1997,9/1/1997,0.087,
10/1/1997,10/1/1997,0.087,
11/1/1997,11/1/1997,0.072,
12/1/1997,12/1/1997,0.072,
1/1/1998,1/1/1998,0.070,
2/1/1998,2/1/1998,0.071,
3/1/1998,3/1/1998,0.070,
4/1/1998,4/1/1998,0.070,
5/1/1998,5/1/1998,0.070,
6/1/1998,6/1/1998,0.084,
7/1/1998,7/1/1998,0.084,
8/1/1998,8/1/1998,0.084,
9/1/1998,9/1/1998,0.084,
10/1/1998,10/1/1998,0.084,
11/1/1998,11/1/1998,0.070,
12/1/1998,12/1/1998,0.070,
1/1/1999,1/1/1999,0.070,
2/1/1999,2/1/1999,0.070,
3/1/1999,3/1/1999,0.070,
4/1/1999,4/1/1999,0.070,
5/1/1999,5/1/1999,0.071,
6/1/1999,6/1/1999,0.072,
7/1/1999,7/1/1999,0.083,
8/1/1999,8/1/1999,0.083,
9/1/1999,9/1/1999,0.078,
10/1/1999,10/1/1999,0.083,
11/1/1999,11/1/1999,0.069,
12/1/1999,12/1/1999,0.069,
1/1/2000,1/1/2000,0.069,
2/1/2000,2/1/2000,0.069,
3/1/2000,3/1/2000,0.069,
4/1/2000,4/1/2000,0.069,
5/1/2000,5/1/2000,0.069,
6/1/2000,6/1/2000,0.083,
7/1/2000,7/1/2000,0.083,
8/1/2000,8/1/2000,0.083,
9/1/2000,9/1/2000,0.085,
10/1/2000,10/1/2000,0.086,
11/1/2000,11/1/2000,0.075,
12/1/2000,12/1/2000,0.075,
1/1/2001,1/1/2001,0.075,
2/1/2001,2/1/2001,0.080,
3/1/2001,3/1/2001,0.080,
4/1/2001,4/1/2001,0.080,
5/1/2001,5/1/2001,0.079,
6/1/2001,6/1/2001,0.100,
7/1/2001,7/1/2001,0.102,
8/1/2001,8/1/2001,0.093,
9/1/2001,9/1/2001,0.093,
10/1/2001,10/1/2001,0.092,
11/1/2001,11/1/2001,0.087,
12/1/2001,12/1/2001,0.086,
1/1/2002,1/1/2002,0.081,
2/1/2002,2/1/2002,0.080,
3/1/2002,3/1/2002,0.081,
4/1/2002,4/1/2002,0.080,
5/1/2002,5/1/2002,0.078,
6/1/2002,6/1/2002,0.086,
7/1/2002,7/1/2002,0.086,
8/1/2002,8/1/2002,0.086,
9/1/2002,9/1/2002,0.088,
10/1/2002,10/1/2002,0.087,
11/1/2002,11/1/2002,0.079,
12/1/2002,12/1/2002,0.079,
1/1/2003,1/1/2003,0.079,
2/1/2003,2/1/2003,0.080,
3/1/2003,3/1/2003,0.084,
4/1/2003,4/1/2003,0.089,
5/1/2003,5/1/2003,0.089,
6/1/2003,6/1/2003,0.096,
7/1/2003,7/1/2003,0.095,
8/1/2003,8/1/2003,0.096,
9/1/2003,9/1/2003,0.099,
10/1/2003,10/1/2003,0.099,
11/1/2003,11/1/2003,0.089,
12/1/2003,12/1/2003,0.089,
1/1/2004,1/1/2004,0.090,
2/1/2004,2/1/2004,0.090,
3/1/2004,3/1/2004,0.090,
4/1/2004,4/1/2004,0.091,
5/1/2004,5/1/2004,0.094,
6/1/2004,6/1/2004,0.105,
7/1/2004,7/1/2004,0.105,
8/1/2004,8/1/2004,0.110,
9/1/2004,9/1/2004,0.110,
10/1/2004,10/1/2004,0.108,
11/1/2004,11/1/2004,0.099,
12/1/2004,12/1/2004,0.099,
1/1/2005,1/1/2005,0.099,
2/1/2005,2/1/2005,0.099,
3/1/2005,3/1/2005,0.099,
4/1/2005,4/1/2005,0.100,
5/1/2005,5/1/2005,0.106,
6/1/2005,6/1/2005,0.118,
7/1/2005,7/1/2005,0.119,
8/1/2005,8/1/2005,0.119,
9/1/2005,9/1/2005,0.119,
10/1/2005,10/1/2005,0.119,
11/1/2005,11/1/2005,0.123,
12/1/2005,12/1/2005,0.122,
1/1/2006,1/1/2006,0.134,
2/1/2006,2/1/2006,0.134,
3/1/2006,3/1/2006,0.131,
4/1/2006,4/1/2006,0.131,
5/1/2006,5/1/2006,0.130,
6/1/2006,6/1/2006,0.140,
7/1/2006,7/1/2006,0.140,
8/1/2006,8/1/2006,0.140,
9/1/2006,9/1/2006,0.138,
10/1/2006,10/1/2006,0.135,
11/1/2006,11/1/2006,0.122,
12/1/2006,12/1/2006,0.122,
1/1/2007,1/1/2007,0.124,
2/1/2007,2/1/2007,0.125,
3/1/2007,3/1/2007,0.126,
4/1/2007,4/1/2007,0.122,
5/1/2007,5/1/2007,0.125,
6/1/2007,6/1/2007,0.135,
7/1/2007,7/1/2007,0.135,
8/1/2007,8/1/2007,0.134,
9/1/2007,9/1/2007,0.134,
10/1/2007,10/1/2007,0.134,
11/1/2007,11/1/2007,0.123,
12/1/2007,12/1/2007,0.123,
1/1/2008,1/1/2008,0.124,
2/1/2008,2/1/2008,0.123,
3/1/2008,3/1/2008,0.129,
4/1/2008,4/1/2008,0.130,
5/1/2008,5/1/2008,0.140,
6/1/2008,6/1/2008,0.147,
7/1/2008,7/1/2008,0.154,
8/1/2008,8/1/2008,0.154,
9/1/2008,9/1/2008,0.152,
10/1/2008,10/1/2008,0.146,
11/1/2008,11/1/2008,0.140,
12/1/2008,12/1/2008,0.139,
1/1/2009,1/1/2009,0.139,
2/1/2009,2/1/2009,0.134,
3/1/2009,3/1/2009,0.134,
4/1/2009,4/1/2009,0.133,
5/1/2009,5/1/2009,0.128,
6/1/2009,6/1/2009,0.132,
7/1/2009,7/1/2009,0.128,
8/1/2009,8/1/2009,0.126,
9/1/2009,9/1/2009,0.125,
10/1/2009,10/1/2009,0.125,
11/1/2009,11/1/2009,0.120,
12/1/2009,12/1/2009,0.121,
1/1/2010,1/1/2010,0.121,
2/1/2010,2/1/2010,0.116,
3/1/2010,3/1/2010,0.116,
4/1/2010,4/1/2010,0.116,
5/1/2010,5/1/2010,0.117,
6/1/2010,6/1/2010,0.120,
7/1/2010,7/1/2010,0.118,
8/1/2010,8/1/2010,0.118,
9/1/2010,9/1/2010,0.118,
10/1/2010,10/1/2010,0.115,
11/1/2010,11/1/2010,0.108,
12/1/2010,12/1/2010,0.108,
1/1/2011,1/1/2011,0.109,
2/1/2011,2/1/2011,0.112,
3/1/2011,3/1/2011,0.112,
4/1/2011,4/1/2011,0.112,
5/1/2011,5/1/2011,0.113,
6/1/2011,6/1/2011,0.117,
7/1/2011,7/1/2011,0.117,
8/1/2011,8/1/2011,0.117,
9/1/2011,9/1/2011,0.118,
10/1/2011,10/1/2011,0.120,
11/1/2011,11/1/2011,0.114,
12/1/2011,12/1/2011,0.113,
1/1/2012,1/1/2012,0.112,
2/1/2012,2/1/2012,0.112,
3/1/2012,3/1/2012,0.113,
4/1/2012,4/1/2012,0.113,
5/1/2012,5/1/2012,0.115,
6/1/2012,6/1/2012,0.118,
7/1/2012,7/1/2012,0.116,
8/1/2012,8/1/2012,0.116,
9/1/2012,9/1/2012,0.115,
10/1/2012,10/1/2012,0.114,
11/1/2012,11/1/2012,0.114,
12/1/2012,12/1/2012,0.115,
1/1/2013,1/1/2013,0.117,
2/1/2013,2/1/2013,0.117,
3/1/2013,3/1/2013,0.119,
4/1/2013,4/1/2013,0.119,
5/1/2013,5/1/2013,0.123,
6/1/2013,6/1/2013,0.127,
7/1/2013,7/1/2013,0.126,
8/1/2013,8/1/2013,0.126,
9/1/2013,9/1/2013,0.126,
10/1/2013,10/1/2013,0.128,
11/1/2013,11/1/2013,0.123,
12/1/2013,12/1/2013,0.118,
1/1/2014,1/1/2014,0.119,
2/1/2014,2/1/2014,0.124,
3/1/2014,3/1/2014,0.123,
4/1/2014,4/1/2014,0.123,
5/1/2014,5/1/2014,0.130,
6/1/2014,6/1/2014,0.134,
7/1/2014,7/1/2014,0.132,
8/1/2014,8/1/2014,0.133,
9/1/2014,9/1/2014,0.133,
10/1/2014,10/1/2014,0.130,
11/1/2014,11/1/2014,0.125,
12/1/2014,12/1/2014,0.127,
1/1/2015,1/1/2015,0.127,
2/1/2015,2/1/2015,0.127,
3/1/2015,3/1/2015,0.127,
4/1/2015,4/1/2015,0.126,
5/1/2015,5/1/2015,0.126,
6/1/2015,6/1/2015,0.129,
7/1/2015,7/1/2015,0.130,
8/1/2015,8/1/2015,0.125,
9/1/2015,9/1/2015,0.124,
10/1/2015,10/1/2015,0.122,
11/1/2015,11/1/2015,0.116,
12/1/2015,12/1/2015,0.116,
1/1/2016,1/1/2016,0.116,
2/1/2016,2/1/2016,0.116,
3/1/2016,3/1/2016,0.111,
4/1/2016,4/1/2016,0.111,
5/1/2016,5/1/2016,0.112,
6/1/2016,6/1/2016,0.116,
7/1/2016,7/1/2016,0.116,
8/1/2016,8/1/2016,0.119,
9/1/2016,9/1/2016,0.117,
10/1/2016,10/1/2016,0.117,
11/1/2016,11/1/2016,0.112,
12/1/2016,12/1/2016,0.112,
1/1/2017,1/1/2017,0.112,
2/1/2017,2/1/2017,0.112,
3/1/2017,3/1/2017,0.112,
4/1/2017,4/1/2017,0.112,
5/1/2017,5/1/2017,0.128,
6/1/2017,6/1/2017,0.128,
7/1/2017,7/1/2017,0.128,
8/1/2017,8/1/2017,0.128,
9/1/2017,9/1/2017,0.128,
10/1/2017,10/1/2017,0.128,
11/1/2017,11/1/2017,0.127,
12/1/2017,12/1/2017,0.126,
1/1/2018,1/1/2018,0.126,
2/1/2018,2/1/2018,0.126,
3/1/2018,3/1/2018,0.124,
4/1/2018,4/1/2018,0.132,
5/1/2018,5/1/2018,0.133,
6/1/2018,6/1/2018,0.142,
7/1/2018,7/1/2018,0.142,
8/1/2018,8/1/2018,0.142,
9/1/2018,9/1/2018,0.136,
10/1/2018,10/1/2018,0.136,
11/1/2018,11/1/2018,0.136,
12/1/2018,12/1/2018,0.136,
1/1/2019,1/1/2019,0.141,
2/1/2019,2/1/2019,0.141,
3/1/2019,3/1/2019,0.142,
4/1/2019,4/1/2019,0.142,
5/1/2019,5/1/2019,0.142,
6/1/2019,6/1/2019,0.142,
7/1/2019,7/1/2019,0.142,
8/1/2019,8/1/2019,0.142,
9/1/2019,9/1/2019,0.143,
10/1/2019,10/1/2019,0.143,
11/1/2019,11/1/2019,0.142,
12/1/2019,12/1/2019,0.142,
1/1/2020,1/1/2020,0.141,
2/1/2020,2/1/2020,0.137,
3/1/2020,3/1/2020,0.134,
4/1/2020,4/1/2020,0.134,
5/1/2020,5/1/2020,0.136,
6/1/2020,6/1/2020,0.136,
7/1/2020,7/1/2020,0.135,
8/1/2020,8/1/2020,0.133,
9/1/2020,9/1/2020,0.132,
10/1/2020,10/1/2020,0.132,
11/1/2020,11/1/2020,0.130,
12/1/2020,12/1/2020,0.130,
1/1/2021,1/1/2021,0.131,
2/1/2021,2/1/2021,0.131,
3/1/2021,3/1/2021,0.128,
4/1/2021,4/1/2021,0.127,
5/1/2021,5/1/2021,0.128,
6/1/2021,6/1/2021,0.129,
7/1/2021,7/1/2021,0.133,
8/1/2021,8/1/2021,0.144,
9/1/2021,9/1/2021,0.152,
10/1/2021,10/1/2021,0.153,
11/1/2021,11/1/2021,0.153,
12/1/2021,12/1/2021,0.154,
