DATE,Date,gas_price
01-01-1992,01-01-1992,0.72
02-01-1992,02-01-1992,0.706
03-01-1992,03-01-1992,0.722
04-01-1992,04-01-1992,0.714
05-01-1992,05-01-1992,0.744
06-01-1992,06-01-1992,0.746
07-01-1992,07-01-1992,0.748
08-01-1992,08-01-1992,0.752
09-01-1992,09-01-1992,0.725
10-01-1992,10-01-1992,0.731
11-01-1992,11-01-1992,0.74
12-01-1992,12-01-1992,0.739
01-01-1993,01-01-1993,0.743
02-01-1993,02-01-1993,0.744
03-01-1993,03-01-1993,0.74
04-01-1993,04-01-1993,0.718
05-01-1993,05-01-1993,0.711
06-01-1993,06-01-1993,0.723
07-01-1993,07-01-1993,0.72
08-01-1993,08-01-1993,0.765
09-01-1993,09-01-1993,0.753
10-01-1993,10-01-1993,0.764
11-01-1993,11-01-1993,0.773
12-01-1993,12-01-1993,0.754
01-01-1994,01-01-1994,0.728
02-01-1994,02-01-1994,0.706
03-01-1994,03-01-1994,0.71
04-01-1994,04-01-1994,0.723
05-01-1994,05-01-1994,0.73
06-01-1994,06-01-1994,0.726
07-01-1994,07-01-1994,0.763
08-01-1994,08-01-1994,0.759
09-01-1994,09-01-1994,0.765
10-01-1994,10-01-1994,0.754
11-01-1994,11-01-1994,0.734
12-01-1994,12-01-1994,0.715
01-01-1995,01-01-1995,0.706
02-01-1995,02-01-1995,0.751
03-01-1995,03-01-1995,0.801
04-01-1995,04-01-1995,0.803
05-01-1995,05-01-1995,0.702
06-01-1995,06-01-1995,0.731
07-01-1995,07-01-1995,0.759
08-01-1995,08-01-1995,0.762
09-01-1995,09-01-1995,0.77
10-01-1995,10-01-1995,0.752
11-01-1995,11-01-1995,0.607
12-01-1995,12-01-1995,0.58
01-01-1996,01-01-1996,0.598
02-01-1996,02-01-1996,0.59
03-01-1996,03-01-1996,0.588
04-01-1996,04-01-1996,0.634
05-01-1996,05-01-1996,0.573
06-01-1996,06-01-1996,0.585
07-01-1996,07-01-1996,0.57
08-01-1996,08-01-1996,0.613
09-01-1996,09-01-1996,0.605
10-01-1996,10-01-1996,0.574
11-01-1996,11-01-1996,0.6
12-01-1996,12-01-1996,0.599
01-01-1997,01-01-1997,0.707
02-01-1997,02-01-1997,0.754
03-01-1997,03-01-1997,0.593
04-01-1997,04-01-1997,0.432
05-01-1997,05-01-1997,0.443
06-01-1997,06-01-1997,0.558
07-01-1997,07-01-1997,0.597
08-01-1997,08-01-1997,0.556
09-01-1997,09-01-1997,0.58
10-01-1997,10-01-1997,0.567
11-01-1997,11-01-1997,0.619
12-01-1997,12-01-1997,0.618
01-01-1998,01-01-1998,0.588
02-01-1998,02-01-1998,0.518
03-01-1998,03-01-1998,0.512
04-01-1998,04-01-1998,0.494
05-01-1998,05-01-1998,0.554
06-01-1998,06-01-1998,0.521
07-01-1998,07-01-1998,0.515
08-01-1998,08-01-1998,0.522
09-01-1998,09-01-1998,0.519
10-01-1998,10-01-1998,0.53
11-01-1998,11-01-1998,0.531
12-01-1998,12-01-1998,0.552
01-01-1999,01-01-1999,0.549
02-01-1999,02-01-1999,0.493
03-01-1999,03-01-1999,0.456
04-01-1999,04-01-1999,0.576
05-01-1999,05-01-1999,0.446
06-01-1999,06-01-1999,0.485
07-01-1999,07-01-1999,0.523
08-01-1999,08-01-1999,0.539
09-01-1999,09-01-1999,0.609
10-01-1999,10-01-1999,0.605
11-01-1999,11-01-1999,0.575
12-01-1999,12-01-1999,0.533
01-01-2000,01-01-2000,0.543
02-01-2000,02-01-2000,0.545
03-01-2000,03-01-2000,0.515
04-01-2000,04-01-2000,0.633
05-01-2000,05-01-2000,0.53
06-01-2000,06-01-2000,0.731
07-01-2000,07-01-2000,0.781
08-01-2000,08-01-2000,0.779
09-01-2000,09-01-2000,0.782
10-01-2000,10-01-2000,0.864
11-01-2000,11-01-2000,0.833
12-01-2000,12-01-2000,0.804
01-01-2001,01-01-2001,1.011
02-01-2001,02-01-2001,1.011
03-01-2001,03-01-2001,1.037
04-01-2001,04-01-2001,0.905
05-01-2001,05-01-2001,0.902
06-01-2001,06-01-2001,0.843
07-01-2001,07-01-2001,0.75
08-01-2001,08-01-2001,0.75
09-01-2001,09-01-2001,0.811
10-01-2001,10-01-2001,0.816
11-01-2001,11-01-2001,0.85
12-01-2001,12-01-2001,0.851
01-01-2002,01-01-2002,0.832
02-01-2002,02-01-2002,0.578
03-01-2002,03-01-2002,0.548
04-01-2002,04-01-2002,0.513
05-01-2002,05-01-2002,0.607
06-01-2002,06-01-2002,0.608
07-01-2002,07-01-2002,0.623
08-01-2002,08-01-2002,0.594
09-01-2002,09-01-2002,0.595
10-01-2002,10-01-2002,0.629
11-01-2002,11-01-2002,0.656
12-01-2002,12-01-2002,0.656
01-01-2003,01-01-2003,0.66
02-01-2003,02-01-2003,0.735
03-01-2003,03-01-2003,0.905
04-01-2003,04-01-2003,1.006
05-01-2003,05-01-2003,1.006
06-01-2003,06-01-2003,1.006
07-01-2003,07-01-2003,1.006
08-01-2003,08-01-2003,0.873
09-01-2003,09-01-2003,0.873
10-01-2003,10-01-2003,1.012
11-01-2003,11-01-2003,1.012
12-01-2003,12-01-2003,1.012
01-01-2004,01-01-2004,0.787
02-01-2004,02-01-2004,0.804
03-01-2004,03-01-2004,0.615
04-01-2004,04-01-2004,0.684
05-01-2004,05-01-2004,0.683
06-01-2004,06-01-2004,0.872
07-01-2004,07-01-2004,0.975
08-01-2004,08-01-2004,0.975
09-01-2004,09-01-2004,0.975
10-01-2004,10-01-2004,1.113
11-01-2004,11-01-2004,1.113
12-01-2004,12-01-2004,1.138
01-01-2005,01-01-2005,1.142
02-01-2005,02-01-2005,0.77
03-01-2005,03-01-2005,0.77
04-01-2005,04-01-2005,0.851
05-01-2005,05-01-2005,0.918
06-01-2005,06-01-2005,0.873
07-01-2005,07-01-2005,1.143
08-01-2005,08-01-2005,1.182
09-01-2005,09-01-2005,1.277
10-01-2005,10-01-2005,1.909
11-01-2005,11-01-2005,1.895
12-01-2005,12-01-2005,1.611
01-01-2006,01-01-2006,1.567
02-01-2006,02-01-2006,1.077
03-01-2006,03-01-2006,0.923
04-01-2006,04-01-2006,0.813
05-01-2006,05-01-2006,0.811
06-01-2006,06-01-2006,0.809
07-01-2006,07-01-2006,1.074
08-01-2006,08-01-2006,1.107
09-01-2006,09-01-2006,1.107
10-01-2006,10-01-2006,1.107
11-01-2006,11-01-2006,1.098
12-01-2006,12-01-2006,1.097
01-01-2007,01-01-2007,1.009
02-01-2007,02-01-2007,0.903
03-01-2007,03-01-2007,1.092
04-01-2007,04-01-2007,1.152
05-01-2007,05-01-2007,1.127
06-01-2007,06-01-2007,1.203
07-01-2007,07-01-2007,1.224
08-01-2007,08-01-2007,1.272
09-01-2007,09-01-2007,1.265
10-01-2007,10-01-2007,1.233
11-01-2007,11-01-2007,1.223
12-01-2007,12-01-2007,1.188
01-01-2008,01-01-2008,1.09
02-01-2008,02-01-2008,1.073
03-01-2008,03-01-2008,0.997
04-01-2008,04-01-2008,1.209
05-01-2008,05-01-2008,1.283
06-01-2008,06-01-2008,1.522
07-01-2008,07-01-2008,1.726
08-01-2008,08-01-2008,1.787
09-01-2008,09-01-2008,1.468
10-01-2008,10-01-2008,1.334
11-01-2008,11-01-2008,1.364
12-01-2008,12-01-2008,1.314
01-01-2009,01-01-2009,1.035
02-01-2009,02-01-2009,0.863
03-01-2009,03-01-2009,0.745
04-01-2009,04-01-2009,0.697
05-01-2009,05-01-2009,0.755
06-01-2009,06-01-2009,0.749
07-01-2009,07-01-2009,0.897
08-01-2009,08-01-2009,1.037
09-01-2009,09-01-2009,1.02
10-01-2009,10-01-2009,0.989
11-01-2009,11-01-2009,1.072
12-01-2009,12-01-2009,0.958
01-01-2010,01-01-2010,0.939
02-01-2010,02-01-2010,0.891
03-01-2010,03-01-2010,0.854
04-01-2010,04-01-2010,0.858
05-01-2010,05-01-2010,0.887
06-01-2010,06-01-2010,0.85
07-01-2010,07-01-2010,1.114
08-01-2010,08-01-2010,1.157
09-01-2010,09-01-2010,1.1
10-01-2010,10-01-2010,1.063
11-01-2010,11-01-2010,1.022
12-01-2010,12-01-2010,0.965
01-01-2011,01-01-2011,0.869
02-01-2011,02-01-2011,0.838
03-01-2011,03-01-2011,0.81
04-01-2011,04-01-2011,0.889
05-01-2011,05-01-2011,0.978
06-01-2011,06-01-2011,1.036
07-01-2011,07-01-2011,1.178
08-01-2011,08-01-2011,1.281
09-01-2011,09-01-2011,1.35
10-01-2011,10-01-2011,1.014
11-01-2011,11-01-2011,0.984
12-01-2011,12-01-2011,0.925
01-01-2012,01-01-2012,0.872
02-01-2012,02-01-2012,0.808
03-01-2012,03-01-2012,0.743
04-01-2012,04-01-2012,0.751
05-01-2012,05-01-2012,0.724
06-01-2012,06-01-2012,0.724
07-01-2012,07-01-2012,0.773
08-01-2012,08-01-2012,0.828
09-01-2012,09-01-2012,0.85
10-01-2012,10-01-2012,0.893
11-01-2012,11-01-2012,0.924
12-01-2012,12-01-2012,0.957
01-01-2013,01-01-2013,0.779
02-01-2013,02-01-2013,0.752
03-01-2013,03-01-2013,0.741
04-01-2013,04-01-2013,0.766
05-01-2013,05-01-2013,0.791
06-01-2013,06-01-2013,0.847
07-01-2013,07-01-2013,0.858
08-01-2013,08-01-2013,0.874
09-01-2013,09-01-2013,0.9
10-01-2013,10-01-2013,0.909
11-01-2013,11-01-2013,0.887
12-01-2013,12-01-2013,0.878
01-01-2014,01-01-2014,0.876
02-01-2014,02-01-2014,0.876
03-01-2014,03-01-2014,1.028
04-01-2014,04-01-2014,1.049
05-01-2014,05-01-2014,1.034
06-01-2014,06-01-2014,1.078
07-01-2014,07-01-2014,1.04
08-01-2014,08-01-2014,1.039
09-01-2014,09-01-2014,1.038
10-01-2014,10-01-2014,1.037
11-01-2014,11-01-2014,1.008
12-01-2014,12-01-2014,0.982
01-01-2015,01-01-2015,0.98
02-01-2015,02-01-2015,0.859
03-01-2015,03-01-2015,0.698
04-01-2015,04-01-2015,0.712
05-01-2015,05-01-2015,0.683
06-01-2015,06-01-2015,0.698
07-01-2015,07-01-2015,0.858
08-01-2015,08-01-2015,0.861
09-01-2015,09-01-2015,0.861
10-01-2015,10-01-2015,0.907
11-01-2015,11-01-2015,0.89
12-01-2015,12-01-2015,0.869
01-01-2016,01-01-2016,0.801
02-01-2016,02-01-2016,0.77
03-01-2016,03-01-2016,0.767
04-01-2016,04-01-2016,0.773
05-01-2016,05-01-2016,0.823
06-01-2016,06-01-2016,0.843
07-01-2016,07-01-2016,0.979
08-01-2016,08-01-2016,1.031
09-01-2016,09-01-2016,1.03
10-01-2016,10-01-2016,1.031
11-01-2016,11-01-2016,1.041
12-01-2016,12-01-2016,1.053
01-01-2017,01-01-2017,1.063
02-01-2017,02-01-2017,1.012
03-01-2017,03-01-2017,0.921
04-01-2017,04-01-2017,0.962
05-01-2017,05-01-2017,1.37
06-01-2017,06-01-2017,1.457
07-01-2017,07-01-2017,1.531
08-01-2017,08-01-2017,1.552
09-01-2017,09-01-2017,1.553
10-01-2017,10-01-2017,1.548
11-01-2017,11-01-2017,1.536
12-01-2017,12-01-2017,1.565
01-01-2018,01-01-2018,1.507
02-01-2018,02-01-2018,1.536
03-01-2018,03-01-2018,1.498
04-01-2018,04-01-2018,1.42
05-01-2018,05-01-2018,1.373
06-01-2018,06-01-2018,1.361
07-01-2018,07-01-2018,1.358
08-01-2018,08-01-2018,1.34
09-01-2018,09-01-2018,1.343
10-01-2018,10-01-2018,1.287
11-01-2018,11-01-2018,1.283
12-01-2018,12-01-2018,1.312
01-01-2019,01-01-2019,1.26
02-01-2019,02-01-2019,1.248
03-01-2019,03-01-2019,1.222
04-01-2019,04-01-2019,1.129
05-01-2019,05-01-2019,1.106
06-01-2019,06-01-2019,1.119
07-01-2019,07-01-2019,1.238
08-01-2019,08-01-2019,1.281
09-01-2019,09-01-2019,1.313
10-01-2019,10-01-2019,1.384
11-01-2019,11-01-2019,1.339
12-01-2019,12-01-2019,1.338
01-01-2020,01-01-2020,1.286
02-01-2020,02-01-2020,1.242
03-01-2020,03-01-2020,1.195
04-01-2020,04-01-2020,1.25
05-01-2020,05-01-2020,1.226
06-01-2020,06-01-2020,1.226
07-01-2020,07-01-2020,1.32
08-01-2020,08-01-2020,1.34
09-01-2020,09-01-2020,1.446
10-01-2020,10-01-2020,1.455
11-01-2020,11-01-2020,1.475
12-01-2020,12-01-2020,1.623
01-01-2021,01-01-2021,1.559
02-01-2021,02-01-2021,1.56
03-01-2021,03-01-2021,1.555
04-01-2021,04-01-2021,1.586
05-01-2021,05-01-2021,1.626
06-01-2021,06-01-2021,1.628
07-01-2021,07-01-2021,1.65
08-01-2021,08-01-2021,1.695
09-01-2021,09-01-2021,1.698
10-01-2021,10-01-2021,1.87
11-01-2021,11-01-2021,1.871
12-01-2021,12-01-2021,1.898
